,image,subject,scanner,type,view
719,freesurfer/s05-osl-ge-signa-3-fspgr-20140522/s05-osl-ge-signa-3-fspgr-20140522_y.png,s05,osl-signa-fspgr,freesurfer,Coronal
720,freesurfer/s11-mil-ph-intera-901-sense-20140510/s11-mil-ph-intera-901-sense-20140510_z.png,s11,mil-intera-sense,freesurfer,Axial
721,freesurfer/s11-mil-ph-intera-901-sense-20140510/s11-mil-ph-intera-901-sense-20140510_y.png,s11,mil-intera-sense,freesurfer,Coronal
722,freesurfer/s11-mil-ph-intera-901-sense-20140510/s11-mil-ph-intera-901-sense-20140510_x.png,s11,mil-intera-sense,freesurfer,Sagittal
723,freesurfer/s07-sf-si-skyra-7-mprage-20140415/s07-sf-si-skyra-7-mprage-20140415_z.png,s07,sf-skyra-mprage,freesurfer,Axial
724,freesurfer/s07-sf-si-skyra-7-mprage-20140415/s07-sf-si-skyra-7-mprage-20140415_x.png,s07,sf-skyra-mprage,freesurfer,Sagittal
725,freesurfer/s07-sf-si-skyra-7-mprage-20140415/s07-sf-si-skyra-7-mprage-20140415_y.png,s07,sf-skyra-mprage,freesurfer,Coronal
726,freesurfer/s04-ams-ge-discovery-7-fspgr-20140519/s04-ams-ge-discovery-7-fspgr-20140519_x.png,s04,ams-discovery-fspgr,freesurfer,Sagittal
727,freesurfer/s04-ams-ge-discovery-7-fspgr-20140519/s04-ams-ge-discovery-7-fspgr-20140519_y.png,s04,ams-discovery-fspgr,freesurfer,Coronal
728,freesurfer/s04-ams-ge-discovery-7-fspgr-20140519/s04-ams-ge-discovery-7-fspgr-20140519_z.png,s04,ams-discovery-fspgr,freesurfer,Axial
729,freesurfer/s03-bas-si-skyra-6-mprage-20140518/s03-bas-si-skyra-6-mprage-20140518_x.png,s03,bas-skyra-mprage,freesurfer,Sagittal
730,freesurfer/s03-bas-si-skyra-6-mprage-20140518/s03-bas-si-skyra-6-mprage-20140518_y.png,s03,bas-skyra-mprage,freesurfer,Coronal
731,freesurfer/s03-bas-si-skyra-6-mprage-20140518/s03-bas-si-skyra-6-mprage-20140518_z.png,s03,bas-skyra-mprage,freesurfer,Axial
